Pathway,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,healthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,healthy,healthy,unhealthy,unhealthy,healthy,healthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy,unhealthy,healthy,healthy,unhealthy,unhealthy,unhealthy,unhealthy,unhealthy,healthy,unhealthy
Glyoxylate and dicarboxylate metabolism,-1197.3661254409058,-1197.3661335762913,-1197.3661335769766,-197.36613204931166,-1197.3661268982275,-1197.3661335763536,-1197.36613357675,802.6338664237105,802.6338664287157,802.6338664183544,-1197.366133575299,-1197.366133575525,-676.8683059924008,-1197.366126322558,802.6338664206692,-1197.3661335760503,-197.36613223295558,-1197.3661187431867,-1197.3661335763588,802.633866426072,802.6338664193194,-1197.3661335759818,-1197.3661335776428,-1197.3661335767097,802.6338664233961,-1197.3661335749462,-1197.3661335763586,190.38149799990026,802.6338664232962,802.6338664203868,-1197.3661335761867,529.2085554432571,802.633866421836,802.6338664236781,802.6338664234302,-197.3661282008693,-1197.3661300279257,802.6338664226857,-1197.3661257814176,-1197.366133574384,-1197.3661259894998,-1197.3661335747943,-1197.3661335764532,-1197.3661315573531,-1197.3661335806057,-1197.3661313937814,-1197.3661335769261,802.633866408917,802.6338664268619,-1197.366133576408,-1197.3661335757845,-1197.366133575297,802.6338664230561,-1197.3661335766456,-1197.3661335763568,-1197.3661335764016,-1197.3661335725901,802.6338664251529,-1197.3661335774236,802.6338664255579,-1197.3661335769775,-1197.3661335766142,-1197.3661335759639,802.6338664241514,-1197.3661335760366,-1197.3661335774686,-1197.3661335730708,-1197.3661335756192,802.6338664269026,-1197.3661292989605,802.6338664213349,-1197.3661335756456,-1197.3660790742933,-1197.3661335765255,-1197.3661335769193,-1197.3661092313944,-1197.3661335706324,-18.001965353735613,-864.7886554948874,213.51119834608835,122.35901259613638,-1197.3661335759666,-1197.366133576672,-1197.366133576556,-1197.3660950205099,-1197.366133576634,802.6338664324239,802.6338664220272
Lysine metabolism,16.129039546591343,16.129031407467096,16.12903141270715,-483.87096631550406,-483.8709635862035,16.12903148052453,16.12903140497737,16.129031404896907,16.129031405023355,16.129031405163957,16.129031395525317,16.129031404920767,16.129031404823536,16.129036845753518,16.12903140464263,16.129031405631054,16.129033415849733,16.129042533914472,16.129031405948922,16.129031405042213,16.129031405372814,16.129031405256683,16.129031402872442,16.12903140511189,16.12903140504787,16.129031402217777,16.129031405881676,16.129031404350357,16.12903140508024,16.129031405831256,16.129031404964252,16.129031405102637,16.129031405372828,16.129031404877068,16.129031404610146,16.12903946632244,16.12903495991455,16.12903140327451,16.129039200193972,16.12903140921408,16.1290389928119,16.129031404973503,16.12903140523511,16.129033425336416,16.129031405220417,16.12903305376379,16.129031405270368,16.1290314053132,16.12903139837823,16.129031405217347,16.129031407156162,16.129031404196894,16.12903140753764,16.12903140628117,16.12903140497417,16.12903140676795,16.129031405307103,16.1290314046676,16.12903140532751,16.129031405217816,16.129031404862587,16.129031404917868,16.129031405623763,16.129031406031913,16.129031405649584,16.12903140490893,16.129031404856562,16.12903140502368,16.129031405013194,16.129034616037416,16.129031404965758,16.129031404042053,16.1290859073182,16.12903142042751,16.129031404995814,16.129034002575168,16.129031405173578,16.129033416024185,-483.8709646610551,16.12903140546689,16.12903140488187,16.12903140123234,16.12903140460881,16.129031404582904,16.129069961101663,16.1290314051663,16.129031404759843,16.129031404541365
Nucleotide interconversion,-160.0720351189614,1199.3833835303867,450.11354231884155,-467.2832813581581,-800.6166097892724,1199.3833835314465,532.7167168663535,-1133.9499498014095,-835.754853304141,-296.9455130364926,1199.3833835314924,1199.3833835286007,0.7237145931276151,-800.616609213603,559.5611612425236,-800.6166164666556,-467.28328179233205,-800.6166016342316,1199.3833835319267,532.7167168661983,1088.2722724190717,280.16141556803103,-133.9499498009195,-467.28328313444507,1199.3833835322087,866.0500501953185,-717.8579957847342,-1133.9499497963413,-133.9499498009774,-300.616616456122,199.38338352905643,-800.6166164678046,-800.6166164686373,1199.3833835324513,532.7167168656772,-467.28327775911913,-1300.6166129189708,-133.94994980147797,-800.6166086724626,-133.94994979840848,143.82783556885096,-133.94994980640138,866.0500501993052,-1133.949947781611,-800.6166164675874,-800.6166142848261,1199.3833835335163,1199.3833835319429,866.0500502028399,404.24612862300404,1022.5315316839075,1199.3833835253813,302.0226113065367,1199.3833835324338,309.32982281348205,718.4129837238337,-800.6166164610421,-800.6166164694572,742.9108521675595,1199.3833835389355,1199.3833835326282,1177.4770755636484,-800.6166164675302,199.38338353272968,532.7167168657767,532.7167168667833,532.7167168653269,1199.383383531508,-133.94994980136963,-800.6166121900052,-451.0759355179392,1199.3833835315306,-800.6165619653384,532.7167168654664,532.7167168662085,534.8998865560992,-467.2832831500062,1199.3833835323464,-800.6166134074668,-133.94994979995667,-133.94994980134825,532.7167168629959,866.0500501990864,1199.3833835321755,-800.6165779115548,349.5334558609258,-649.6590114488062,-467.2832831333689
Pyrimidine synthesis,407.64332206466895,1474.3099805935235,407.64331391474593,407.64331696670746,407.64332060607467,1060.7436085911047,1407.6433139248659,-729.1088228256099,-592.3566860724188,-592.35668607098,-592.3566860797267,-592.3566860687387,907.6433139273339,407.64332118174406,-92.3566860571284,1103.9396103056754,407.643316605048,407.64332876111547,907.6433139275434,1407.6433139278988,907.6433139266633,907.6433139298434,1407.6433139269893,-592.3566860728503,-592.3566860718171,-448.9544093374314,907.6433139277922,907.6433138563114,-592.3566860717972,-592.356686070313,1024.817318073196,-379.549654657745,-592.3566860712633,907.6433139283752,1407.64331392771,407.6433246751896,-92.35668251941244,-592.3566860723788,407.6433217228846,100.56339040537932,-92.35667848447004,1305.6518752925276,-592.3566860719337,653.1249630507848,-592.3566860738931,407.64331611052086,-339.3501193423025,1231.1965145526142,-592.3566860772488,-592.3566860475943,907.6433139272756,907.6433139268639,-592.3566860711339,-592.3566860730255,1407.6433139327032,1651.4950589067155,1407.643313927748,-406.0849469565446,1447.3387612163433,-592.3566860745229,907.6433139259253,1407.6433139275764,907.6433139278813,1293.8569352987859,1269.4622241897587,1407.6433139430897,1084.0772291423345,407.64331392464896,-1592.3566860733579,407.6433182053418,-349.1891953673277,1494.7704780098115,407.6433684300088,-592.3566860721298,1663.6915943460485,1296.5321935450575,907.643313915415,407.2208735059114,407.6433191729393,-592.3566860559521,1345.34506831322,1282.5698277214312,907.6433139277509,907.6433139276867,407.6433524837923,1407.6433139279932,1134.07972147483,1407.6433139224357
Tetrahydrobiopterin metabolism,96.77420066049288,96.77419251450357,96.77419251418183,96.77419488423084,96.7741991923513,96.7741925140431,96.77419251573664,-125.44802970841228,-125.4480297082856,96.77419251441947,96.77419251347864,96.77419251331257,96.77419251389352,96.77419976802064,96.77419251370715,96.77419251413082,96.77419459804807,96.77420734739209,96.77419251377731,96.77419251406162,96.77419251382662,-125.44802970743473,96.77419251384234,-125.44802970837002,96.77419251416835,96.77419251374405,96.77419251402517,-125.44802970808665,-125.44802970825185,-125.44802970633557,96.77419251183254,96.77419251399213,-125.44802970796212,96.77419251412901,-125.44802970933294,96.77420087375597,-14.336915047423215,96.7741925137776,96.77420030916123,-125.448029704523,-14.336910999417334,96.77419251486809,96.77419251529774,96.77419453418429,-125.44802970818091,96.7741946967975,96.77419251432218,96.77419251383958,96.77419251689466,96.77419251484677,96.77419250996005,96.77419251305946,96.77419251397748,96.77419251396694,96.77419251363317,96.77419251404807,-125.44802970650868,-125.44802971254859,96.77419251415503,96.77419251438866,-125.44802970919255,96.77419251387272,96.774192516895,-125.4480297047146,96.77419251545138,96.77419251615225,96.7741925136379,96.77419251392189,96.7741925145652,96.77419679161851,-125.44802970819745,96.7741925138743,96.77424701628544,96.77419251394784,96.77419251416187,96.77418813687075,-125.44802970779834,96.77419251364967,96.77419659372596,-125.44802971074675,-125.44802970838626,-125.44802970731091,96.77419251398057,96.77419251390042,96.77423107006891,96.77419251593359,96.77419251978186,-125.44802970762791
"Transport, endoplasmic reticular",-343.86592375606676,56.13406810692813,-343.8659318939102,-543.865928854623,-543.8659252152557,56.13406810617198,-1143.8659318946288,-943.865931893791,456.13406810751314,792.1264571321419,-143.86593189811978,-245.31520727873254,-943.8659318946056,-543.8659246395864,376.1340681010889,-521.6437096692243,-543.8659292162824,-543.865917060215,-743.865931895926,-743.8659318975499,-892.2890383790287,-263.8659318964909,-71.65277253540322,-521.5121125382623,-102.52896565907682,56.134068099938396,-543.8659318934875,56.13406811097379,1256.134068106514,456.13406810476465,456.13406810611303,-743.8659318933827,856.1340681042473,-943.8659318940711,56.1340681064115,-543.8659211461409,-943.865928343074,456.13406810556637,-543.8659240984458,856.1340681038349,-543.86591671945,-1174.5526990572853,-377.9397369057851,-172.63432854144378,-743.8659318921738,-543.8659297108095,-423.86593189380983,-456.81301188297584,56.134068033758375,-543.8659318935452,-982.8937094282843,-1313.6225782926444,-1374.071723589775,-83.41793189461421,-1143.865931892649,-1324.9178184307164,-1104.1992652202578,143.80073475221138,-788.0809023354052,-31.026425718864537,-1143.865931893677,-1143.8659318934285,-1111.565319506577,-1473.598905216719,417.48556383561527,-295.086846362068,-582.269921926006,-92.4277435905,856.1340681036279,-543.8659276159885,-88.14280927199674,-743.865931893296,-543.8658773913215,-543.8659318952912,-550.486302176805,-1143.8659247876515,856.1340681028121,-532.1418106215485,-543.8659266483911,456.1340680809215,654.8638926679967,-410.53259855958396,-943.865926113692,-743.8659318940382,-543.8658933375382,-1543.8659318936475,856.1340681061944,456.13406810357253
"Transport, extracellular",-412.3026366910475,-127.12682271875777,-792.4046004967327,-692.4045974573062,-692.404593817939,-92.40460049644342,463.81526450087114,-92.5755406677705,143.85465875819824,-79.51031545237963,7.5953995071795415,-492.40460049448484,-327.4290655162421,-692.4045932422695,138.32873282248116,-992.4046004945498,-692.4045978189655,-692.4045856628982,-636.6353697655733,-446.809362420024,-570.483377947142,342.85601480894024,-941.7112889151304,280.7149566078352,193.28114638737333,-323.3569814398237,-492.40460049536296,476.98278107835165,-59.07126716301896,-192.4046004961236,-192.4046004965647,-906.0758660452873,207.59539950357845,107.59539950392298,-353.0478238233499,-692.4045897488239,-642.4045969446827,70.22486683704354,-692.4045927011291,107.59539950938722,-642.4045857014623,78.63206424323157,887.279217441853,-792.40459736643,-292.40460049515,-692.4045983134926,137.9516752310115,50.42655848076633,-992.404600498466,-974.4604828487329,-492.4046004949463,-446.19267735293226,37.843673276558924,-670.2366004968809,-432.01103375543454,-492.40460049610135,-842.404600490105,94.94965673044159,-553.7185525012214,548.6447822002384,-292.4046004973407,-158.5780751379626,-92.40460049594249,16.1512550884457,-92.40460049541917,-792.404600497231,-782.3048498718093,-150.22415999349826,557.595399503859,-692.4045962186716,-37.76100694576552,-783.0426124489925,-692.4045459940048,-992.4046004954328,-692.4046004980332,-392.40457977833023,217.3573042955464,-662.9204922670775,-692.4045952510743,274.54296163408645,-426.4183431870807,-181.35227773863232,-458.7934838943226,-341.3546727389215,-692.4045619402212,-1025.7632925312014,-67.21537754311753,-151.30494412945825
"Transport, lysosomal",-387.0967673539261,-387.09677548928454,-387.0967754911799,-387.0967724506151,-387.09676881124784,-387.09677548778706,-387.09677548997166,612.9032245118558,612.9032245157989,-387.096775483009,-387.09677548928784,-387.0967754849458,-387.09677549044585,-387.0967682355785,612.9032244882446,-387.09677548769884,-387.09677281227454,-387.09676065620704,-387.09677548892506,-387.0967754907493,-387.09677547011194,612.9032243743707,-387.09677548835253,612.9032245164001,-387.0967754892279,-387.0967754779269,-387.09677548949554,-387.09677547038024,-387.0967754890772,-387.0967754636536,-387.0967754874444,-387.09677548939914,612.9032244749899,-387.09677548988424,612.9032245148421,-387.09676474213296,-387.0967719409459,612.9032245098002,-387.0967676944379,612.9032245076362,-387.09676031544205,612.9032245128631,612.9032245111955,-387.0967714511488,-387.09677549023814,-387.0967733068016,-387.0967754901681,612.903224510402,612.9032245131232,-387.0967754895101,-387.0967754855822,-387.09677547922485,612.9032245059022,-387.09677548973474,-387.09677548932694,-387.09677548971234,-387.0967754852798,-387.0967755080599,-387.0967754894047,-387.0967755020336,-387.0967754899212,-387.09677548790813,-387.0967754871728,-387.09677549053873,-387.09677548957285,-387.096775492026,-387.0967754890258,-387.0967754829515,-387.0967754904256,-387.09677121198064,612.9032245082353,-387.0967754884518,-387.0967209873137,-387.0967754890583,-387.0967755007085,612.903224510402,-387.0967754874678,-387.096771467505,-387.0967702443832,612.9032245074849,-387.09677548915494,-387.0967754870007,-387.0967697096003,-387.09677548959513,-387.0967369335302,-387.09677548980363,612.903224510402,-387.09677548646727
"Transport, mitochondrial",-239.1316447784565,-239.13165291483142,427.5350137511082,-239.13164987612254,-239.13164623675524,-905.7983195800231,427.5350137517618,427.53501375159686,-498.933426500845,-597.7201405721606,427.53501375135437,427.5350137472347,683.8356864543953,-239.13164566108594,760.8683470855008,427.5350137520557,-239.13165023778197,-239.13163808171444,-239.13165291450093,427.53501375101683,-348.59356345189605,427.5350137501702,427.5350137483956,242.2401643004168,94.20168041902578,427.5350137492347,-239.13165288856132,-739.3469845583937,760.8683470849337,-264.743900726316,391.3672005500188,427.5350137528737,94.20168041908414,760.8683470848595,-239.1316529157357,-239.1316421676404,94.20168396753422,-72.46498624887143,-239.13164511994535,-905.7983195776833,-239.1316377409495,450.315583251586,427.5350137517482,-239.13164954973112,427.5350137514868,-239.1316507323091,-87.2179191260963,649.702214141142,-429.6078433911286,427.5350137519622,760.8683470802517,489.8168539698932,979.7909090033237,427.53501374800265,537.4814530438166,476.11217206146443,427.53501375630304,1063.0905693059215,427.53501375175557,518.6872770833326,427.5350137514313,427.5350137514526,427.53501375251057,427.53501375174864,427.5350137516021,427.5350137476119,427.53501375189944,-677.2308981503897,94.20168041715901,-239.1316486374881,-540.1205006619347,469.5687665367973,-239.1315984128211,427.53501375117474,427.53501375171885,427.5350151373911,-905.7983195803225,94.20168444211879,-239.13164766989064,-572.4649860629387,-239.13165291437807,374.03707138332703,94.20168619802602,427.5350137521594,-239.13161435903763,427.5350137515035,-239.13165291915288,-774.0686517516095
"Transport, peroxisomal",-891.921846868876,-891.9218550039349,-891.9218550051494,-891.921851965565,-891.9218483261977,1108.0781449938443,-891.9218550053329,-891.9218550049524,757.6556097875813,1108.0781449918857,-891.9218550041953,-891.9218549993527,-891.9218550047311,-891.9218477505284,-891.9218550023899,-891.9218550036744,-891.9218523272244,-891.921840171157,774.7448116578109,-891.9218550054065,-891.9218550018472,-891.9218550039967,-891.9218550036804,1108.07814507703,1108.078144995405,-891.9218550025328,1108.0781449943931,1108.0781449944711,1108.0781449956787,1108.0781449878239,-891.9218550040748,-891.9218550045432,-891.9218550030241,-891.9218550047717,1108.0781449963124,-891.9218442570829,-891.9218514558959,-891.9218550043538,-891.9218472093878,1108.0781449934839,-891.921839830392,-891.9218550072985,-891.9218550044366,-745.9371315366766,-891.9218550050011,-891.9218528217515,-891.921855004982,-891.9218550042694,1108.0781450093807,-891.9218550043344,1108.0781449940832,-891.9218549611933,1108.0781449734868,-891.9218550045603,-891.9218550039203,-891.9218550050289,-891.9218550004836,-891.92185506164,-891.9218550044837,-891.9218550069858,-891.9218550047916,-891.9218550043875,-891.9218550039573,-891.9218550049311,-891.9218550043524,-891.9218550075096,-891.9218550043516,1108.0781449936796,1108.0781450015565,-891.9218507269305,1108.0781449947629,-891.9218550022119,-891.9218005022636,-891.9218550043665,-891.9218550049761,-891.9218232503102,1108.0781449918768,-891.9218509824549,-891.9218497593331,1108.0781449915137,-891.9218550045721,-891.9218550028504,-891.9218492248042,-891.92185500454,-891.9218164484802,-891.92185500473,1108.0781450492723,1108.0781449943975
Tryptophan metabolism,129.03226515810684,-1870.9677429818375,38.873527298551934,129.0322600495262,129.03226368889347,-1864.47429498481,129.0322570111996,129.0322570112254,129.0322570117084,129.03225700960235,-1870.9677429478534,129.0322570036954,-1870.9677429903022,129.0322642645628,129.03225700242024,-1870.9677429848061,129.03225968786677,129.03227184393427,-1870.9677429818516,129.03225702403012,129.03225700664015,-1870.9677429885423,-1870.9677429537542,129.03225701065816,129.03225701050013,-615.5564875743687,129.03225700827363,129.03225699811446,-1870.9677429891572,129.03225701012656,129.0322570098923,-1870.9677429901085,129.03225700939976,129.03225701156913,-1870.967742989928,129.03226775800835,-370.96773943941855,129.03225700919978,129.0322648057034,129.03225691731706,129.03226459882825,129.03225701799056,129.03225701061433,129.03225903152384,-1870.9677429900198,129.03225919333966,129.03225701113655,129.0322570102793,-118.58679058365176,-1870.967742988821,-1870.967742920136,-1870.9677429862572,129.032257002701,-896.8877429914385,129.03225701028038,129.03225701032642,129.03225699765716,129.03225701372259,129.03225701168952,129.0322570160147,129.03225700928374,129.03225701025968,129.03225701055484,129.03225701372588,-1870.9677429893923,129.03225701856553,129.03225700939254,129.0322570080844,129.0322570109626,129.0322612881606,129.03225700969801,-1870.9677429858925,129.03231151282762,-1594.01915256907,129.03225701096898,-835.6301765805335,129.03225700986238,129.03226103209107,129.0322622557581,129.03225697945948,129.03225701029254,129.03225699988644,129.0322570106859,129.03225701068635,129.03229556661108,-1870.9677429900385,129.0322571170185,-1870.9677429808507
